Date/Time,Air Quality Index,Carbon Monoxide,Hydrogen Sulphide,Methane,Nitric Oxide,Nitrogen Dioxide,Non-methane Hydrocarbons,Outdoor Air Temperature,Ozone,PM10 Mass,PM2.5 Mass,Relative Humidity,Std. Dev. of Wind Direction,Sulphur Dioxide,Total Hydrocarbons,Total Oxides Of Nitrogen,Wind Direction,Wind Speed
2016-09-30,2.0195666666666665,0.1888999999999999,0.0007,2.05415,0.0068666666666666,0.0102333333333333,0.4958,10.3729,0.0154333333333333,,7.347233333333333,75.2917,20.1042,0.0017,2.4208,0.0169666666666666,50.375,8.5708
2016-10-01,1.6925,0.1763666666666666,0.0002,1.3305333333333331,0.0034,0.008,0.0521,7.828049999999999,0.0124333333333333,,3.340566666666667,90.8333,25.58335,0.0009,2.1771000000000003,0.0114,144.85415,8.4146
2016-10-02,1.7352666666666667,0.1972333333333333,0.0001,1.3389,0.0028666666666666,0.0075666666666666,0.00835,7.62955,0.0133333333333333,,3.380033333333333,70.375,27.72915,0.00145,2.1521,0.0104666666666666,220.4375,7.1396
2016-10-03,2.0429,0.33125,,1.0646,0.02015,0.0207499999999999,0.0,7.29,0.009,,11.83335,,31.9167,0.0013,2.5792,0.0409,148.7917,3.4625
2016-10-04,1.8551333333333333,0.23335,,1.0222,0.0088,0.0136499999999999,0.0,6.1,0.01355,,6.979150000000001,,21.25,0.0014,2.4417,0.0224,60.6667,8.1583
2016-10-05,1.9491,0.1444666666666666,0.0003,1.3194333333333337,0.0043666666666666,0.0076666666666666,0.0180666666666666,2.0479000000000003,0.0189333333333333,,4.208333333333333,68.0417,17.5625,0.0001,2.1027666666666667,0.0120333333333333,139.20835,12.51875
2016-10-06,1.9520666666666668,0.1708333333333333,0.0002,1.3416666666666668,0.0062333333333333,0.0127333333333333,0.0291666666666666,-0.8047,0.0143666666666666,,6.028366666666667,72.2083,18.4167,0.00055,2.2006666666666668,0.0189333333333333,212.35415,7.0104500000000005
2016-10-07,2.092633333333333,0.1722333333333333,0.0001,1.3500000000000003,0.0067333333333333,0.0104,0.0625,-0.5547,0.0194666666666666,,3.0658,76.6667,17.125,0.0,2.2361,0.0171666666666666,112.9792,11.202100000000002
2016-10-08,1.9902,0.1528,0.0001,1.3361,0.0027333333333333,0.0059666666666666,0.0,-0.08125,0.0199,,1.9861,84.0833,18.0,5e-05,2.1424333333333334,0.0087,115.8125,10.2708
2016-10-09,1.8694666666666664,0.1444333333333333,0.0001,2.0520500000000004,0.0018666666666666,0.0072666666666666,0.0104,-0.4604,0.0167,,1.4722333333333335,83.625,17.39585,0.0003,2.0625,0.0091333333333333,257.77085,9.95
