"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-17","2015","04","17","","16.7","","2.5","","9.6","","8.4","","0.0","","","M","","M","0.0","","","","28","","61",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-18","2015","04","18","","12.8","","1.0","","6.9","","11.1","","0.0","","","M","","M","0.0","","","","33","","61",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-19","2015","04","19","","14.1","","-2.7","","5.7","","12.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-20","2015","04","20","","19.1","","0.1","","9.6","","8.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-21","2015","04","21","","21.0","","3.7","","12.4","","5.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-22","2015","04","22","","22.2","","3.9","","13.1","","4.9","","0.0","","","M","","M","0.0","","","","30","","67",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-23","2015","04","23","","7.7","","2.7","","5.2","","12.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-24","2015","04","24","","6.5","","0.6","","3.6","","14.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-25","2015","04","25","","7.0","","-0.8","","3.1","","14.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-26","2015","04","26","","10.2","","-3.9","","3.2","","14.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-27","2015","04","27","","20.3","","1.3","","10.8","","7.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-28","2015","04","28","","25.2","","3.4","","14.3","","3.7","","0.0","","","M","","M","0.0","","","","33","","65",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-29","2015","04","29","","13.8","","6.9","","10.4","","7.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-04-30","2015","04","30","","15.6","","1.9","","8.8","","9.2","","0.0","","","M","","M","0.2","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-01","2015","05","01","","13.7","","3.2","","8.5","","9.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-02","2015","05","02","","11.7","","2.6","","7.2","","10.8","","0.0","","","M","","M","0.8","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-03","2015","05","03","","12.4","","0.0","","6.2","","11.8","","0.0","","","M","","M","0.2","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-04","2015","05","04","","16.7","","3.7","","10.2","","7.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-05","2015","05","05","","12.7","","3.9","","8.3","","9.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-06","2015","05","06","","3.9","","-0.6","","1.7","","16.3","","0.0","","","M","","M","7.8","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-07","2015","05","07","","10.6","","-2.3","","4.2","","13.8","","0.0","","","M","","M","0.2","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-08","2015","05","08","","14.0","","-1.3","","6.4","","11.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-09","2015","05","09","","17.0","","2.4","","9.7","","8.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-10","2015","05","10","","16.2","","3.2","","9.7","","8.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-11","2015","05","11","","15.8","","2.4","","9.1","","8.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-12","2015","05","12","","18.3","","3.1","","10.7","","7.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-13","2015","05","13","","17.2","","5.5","","11.4","","6.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-14","2015","05","14","","18.1","","4.8","","11.5","","6.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-15","2015","05","15","","18.2","","8.2","","13.2","","4.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-16","2015","05","16","","13.7","","4.1","","8.9","","9.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-05-17","2015","05","17","","13.3","","-1.0","","6.2","","11.8","","0.0","","","M","","M","0.0","","","","","","<31",""
