Date/Time,Air Quality Index,Carbon Monoxide,Methane,Nitric Oxide,Nitrogen Dioxide,Outdoor Air Temperature,Ozone,PM10 Mass,PM2.5 Mass,Relative Humidity,Sulphur Dioxide,Wind Direction
2015-03-29 00:00:00,2.3846,0.231933333,1.8792,0.004433333,0.011966667,8.8375,0.024166667,9.5,5.1111,55.5,0.0007,209.33335
2015-03-30 00:00:00,2.827566667,0.219433333,1.8354,0.0028,0.009933333,10.175,0.035933333,16.8333,5.152766667,39.25,0.00075,218.08335
2015-03-31 00:00:00,2.516533333,0.225,1.82915,0.003833333,0.008766667,9.873633333,0.028733333,19.75,6.833333333,54.75,0.001,196.6875
2015-04-01 00:00:00,2.455566667,0.169433333,1.82085,0.001633333,0.004466667,1.756933333,0.0294,1.4167,2.1861,84.6667,0.0006,309.4375
2015-04-02 00:00:00,2.195766667,0.186133333,1.8875,0.0056,0.012033333,2.068066667,0.0202,7.0417,4.611133333,76.3333,0.00055,237.72915
2015-04-03 00:00:00,2.2681,0.154166667,1.9042,0.003833333,0.0089,3.5222,0.023633333,6.4091,5.166766667,70.4583,0.0006,179.60415
2015-04-04 00:00:00,2.291766667,0.172233333,1.9,0.0041,0.009766667,1.7514,0.024166667,13.3333,7.506033333,64.5,0.00105,85.72915
2015-04-05 00:00:00,2.3669,0.191666667,2.05,0.005466667,0.011733333,1.775,0.023533333,10.25,7.097233333,65.2083,0.0007,122.77085
2015-04-06 00:00:00,2.525966667,0.166666667,1.8646,0.0021,0.005466667,2.8875,0.030666667,11.9167,5.522233333,51.625,0.0003,150.5625
2015-04-07 00:00:00,2.303233333,0.204133333,1.875,0.005533333,0.012166667,4.143033333,0.023466667,19.5833,9.33335,64.7083,0.0022,124.02085
2015-04-08 00:00:00,2.5301,0.220833333,1.90625,0.0056,0.016266667,8.148633333,0.022366667,26.0833,8.54165,42.625,0.00095,234.8125
2015-04-09 00:00:00,2.590666667,0.227766667,1.8958,0.005266667,0.0166,11.44306667,0.024433333,38.75,9.33335,33.2083,0.00135,208.10415
2015-04-10 00:00:00,2.713733333,0.2375,1.8667,0.0027,0.01095,12.5125,0.030333333,29.2917,10.9028,26.875,0.0006,200.22915
2015-04-11 00:00:00,2.6385,0.229166667,1.96455,0.003666667,0.010533333,8.881933333,0.0291,33.1667,7.659366667,34.25,0.00045,256.6875
2015-04-12 00:00:00,2.711866667,0.208333333,1.8125,0.001133333,0.004633333,5.923633333,0.034566667,19.125,3.1042,25.625,0.0023,270.5
2015-04-13 00:00:00,2.679066667,0.220833333,1.8041,0.003,0.008133333,8.695833333,0.033766667,13,4.4792,25.375,0.0021,203.72915
2015-04-14 00:00:00,2.450033333,0.19,1.8417,0.003066667,0.0087,8.8264,0.029066667,32,5.1389,32.7083,0.0006,244.875
2015-04-15 00:00:00,2.7234,0.179166667,1.84665,0.001966667,0.010433333,9.947233333,0.0325,22.4583,5.1884,25.375,0.00165,270.47915
2015-04-16 00:00:00,2.6115,0.194466667,1.86875,0.004533333,0.012633333,12.35833333,0.028333333,27.5833,7.8914,36,0.00115,205.41665
2015-04-17 00:00:00,2.461,0.202766667,1.8667,0.002933333,0.012233333,11.22083333,0.026133333,22.9565,6.021733333,54.5,0.00055,197.60415
2015-04-18 00:00:00,2.678366667,0.159733333,1.85415,0.001066667,0.004866667,9.480566667,0.0324,5.9583,4.064,44.2917,0.00025,312.91665
2015-04-19 00:00:00,2.618833333,0.211133333,1.91665,0.004266667,0.014566667,10.72083333,0.025533333,16.4167,5.66035,32.9583,0.00115,228.4792
2015-04-20 00:00:00,2.587766667,0.220833333,1.86045,0.007233333,0.0159,14.22916667,0.027033333,26.5,8.4375,30.7917,0.00115,207.375
2015-04-21 00:00:00,2.619333333,0.2014,1.8225,0.003066667,0.008766667,15.95416667,0.032333333,24.5,6.5417,32.875,0.00095,125.52085
2015-04-22 00:00:00,2.677566667,0.158333333,1.79795,0.002233333,0.005633333,14.83613333,0.033533333,47.8333,7.205566667,40.5833,0.0005,168.0625
2015-04-23 00:00:00,2.2765,0.160933333,1.79375,0.0025,0.0057,6.484733333,0.0259,3.0417,2.9538,71.0833,0.00075,285.52085
2015-04-24 00:00:00,2.182866667,0.1847,1.8729,0.006833333,0.0099,5.179133333,0.019233333,15.1667,8.0572,74.8333,0.0006,77.97915
